"county","state","metro","avg_home_value"
"Randall County","TX","Amarillo",165883.833333333
"Morgan County","AL","Decatur",124918.25
"Pickens County","SC","Greenville-Anderson-Mauldin",157456.666666667
"Boone County","KY","Cincinnati",203050.916666667
"Calhoun County","AL","Anniston-Oxford-Jacksonville",94925.5833333333
"Windham County","CT","Worcester",193006.916666667
"Delaware County","IN","Muncie",87579
"Jasper County","MO","Joplin",112566.166666667
"Bossier Parish","LA","Shreveport-Bossier City",168347.5
"Parker County","TX","Dallas-Fort Worth-Arlington",263859.333333333
"Skagit County","WA","Mount Vernon-Anacortes",354529.083333333
"Clarke County","GA","Athens-Clarke County",171862.5
"Linn County","OR","Albany",250543.416666667
"Mercer County","PA","Youngstown-Warren-Boardman",118936.5
"Jefferson County","NY","Watertown-Fort Drum",137113.083333333
"Lycoming County","PA","Williamsport",147602.416666667
"Canadian County","OK","Oklahoma City",163067
"Sheboygan County","WI","Sheboygan",137320.416666667
"Kendall County","IL","Chicago-Naperville-Elgin",233389
"Harnett County","NC","Dunn",161581.416666667
"La Crosse County","WI","La Crosse-Onalaska",166460.583333333
"Wayne County","OH","Wooster",156193.75
"Wilson County","TN","Nashville-Davidson--Murfreesboro--Franklin",292193.416666667
"La Salle County","IL","Ottawa-Peru",109918.5
"Warren County","KY","Bowling Green",174468
"Kankakee County","IL","Kankakee",137633.25
"Faulkner County","AR","Little Rock-North Little Rock-Conway",154842.75
"Cache County","UT","Logan",242786.916666667
"Saint Lawrence County","NY","Ogdensburg-Massena",76768.5
"Terrebonne Parish","LA","Houma-Thibodaux",167897.166666667
"La Porte County","IN","Michigan City-La Porte",139768.583333333
"Allegan County","MI","Holland",187260.333333333
"Douglas County","KS","Lawrence",205764.916666667
"Macon County","IL","Decatur",91741.5833333333
"Carroll County","GA","Atlanta-Sandy Springs-Roswell",151397.25
"Clark County","IN","Louisville/Jefferson County",148971.75
"Tom Green County","TX","San Angelo",139614.5
"Missoula County","MT","Missoula",305549.083333333
"Lowndes County","GA","Valdosta",121714.75
"Warren County","NJ","Allentown-Bethlehem-Easton",234534.75
"Comal County","TX","San Antonio-New Braunfels",314437.833333333
"Ontario County","NY","Rochester",173402.5
"Vigo County","IN","Terre Haute",94690.3333333333
"Columbiana County","OH","Salem",94135.75
"Bay County","MI","Bay City",115315.833333333
"Eaton County","MI","Lansing-East Lansing",155462.583333333
"Androscoggin County","ME","Lewiston-Auburn",168126.666666667
"Douglas County","OR","Roseburg",190874.333333333
"Sumter County","SC","Sumter",115284.583333333
"Navajo County","AZ","Show Low",198965.333333333
"Brunswick County","NC","Myrtle Beach-Conway-North Myrtle Beach",250380.416666667
"Ascension Parish","LA","Baton Rouge",222946.416666667
"Saline County","AR","Little Rock-North Little Rock-Conway",159367.333333333
"Henderson County","NC","Asheville",251607.5
"Fayette County","GA","Atlanta-Sandy Springs-Roswell",288547.916666667
"Allen County","OH","Lima",100065.666666667
"Hardin County","KY","Elizabethtown-Fort Knox",144876.916666667
"DeKalb County","IL","Chicago-Naperville-Elgin",170154.166666667
"Saint Marys County","MD","California-Lexington Park",289004.916666667
"Etowah County","AL","Gadsden",93219.9166666667
"Bonneville County","ID","Idaho Falls",199420.25
"Berkeley County","WV","Hagerstown-Martinsburg",180162.333333333
"Craven County","NC","New Bern",149139.833333333
"Kaufman County","TX","Dallas-Fort Worth-Arlington",215932.583333333
"Whitfield County","GA","Dalton",128884.083333333
"Miami County","OH","Dayton",138581
"Cowlitz County","WA","Longview",254115.583333333
"Walworth County","WI","Whitewater-Elkhorn",218651
"Woodbury County","IA","Sioux City",112974.916666667
"Fond du Lac County","WI","Fond du Lac",129319
"Tompkins County","NY","Ithaca",216763.166666667
"Houston County","AL","Dothan",120137
"Ashtabula County","OH","Ashtabula",99311.25
"Franklin County","MO","St. Louis",158561.583333333
"Adams County","PA","Gettysburg",204995
"Cecil County","MD","Philadelphia-Camden-Wilmington",237841.5
"Pennington County","SD","Rapid City",206394.666666667
"Bartow County","GA","Atlanta-Sandy Springs-Roswell",168698.083333333
"Newton County","GA","Atlanta-Sandy Springs-Roswell",148618.833333333
"Lenawee County","MI","Adrian",144979.583333333
"Hanover County","VA","Richmond",282508.25
"Putnam County","NY","New York-Newark-Jersey City",352693.083333333
"Cass County","MO","Kansas City",196089.416666667
"Yamhill County","OR","Portland-Vancouver-Hillsboro",328573.083333333
"Steuben County","NY","Corning",103415.75
"Albemarle County","VA","Charlottesville",343187.25
"Bradley County","TN","Cleveland",161908.5
"Highlands County","FL","Sebring",129920.166666667
"Nevada County","CA","Truckee-Grass Valley",449306.75
"Eau Claire County","WI","Eau Claire",170854.416666667
"Wicomico County","MD","Salisbury",159224.25
"Madison County","TN","Jackson",113439
"Cleveland County","NC","Shelby",100874.833333333
"Fairbanks North Star Borough","AK","Fairbanks",244178.083333333
"Cape May County","NJ","Ocean City",377062.666666667
"Roanoke City","VA","Roanoke",119176.916666667
"Daviess County","KY","Owensboro",124030.833333333
"Craighead County","AR","Jonesboro",133395.666666667
"Cabell County","WV","Huntington-Ashland",100502.666666667
"Lafourche Parish","LA","Houma-Thibodaux",158067.666666667
"Floyd County","GA","Rome",115713
"Monongalia County","WV","Morgantown",191203.916666667
"Garland County","AR","Hot Springs",141285.666666667
"Nash County","NC","Rocky Mount",126702.25
"Flagler County","FL","Deltona-Daytona Beach-Ormond Beach",221741.916666667
"Portsmouth City","VA","Virginia Beach-Norfolk-Newport News",157326.083333333
"Madison County","MS","Jackson",221689
"Sutter County","CA","Yuba City",293173.333333333
"Dougherty County","GA","Albany",82167
"Northumberland County","PA","Sunbury",104060.333333333
"Montgomery County","VA","Blacksburg-Christiansburg-Radford",204127.916666667
"Wayne County","NY","Rochester",128474.083333333
"Dubuque County","IA","Dubuque",174025.333333333
"Rockingham County","NC","Greensboro-High Point",96463.6666666667
"Sumter County","FL","The Villages",261223.583333333
"Geauga County","OH","Cleveland-Elyria",238749.5
"Pottawattamie County","IA","Omaha-Council Bluffs",135344.583333333
"Marshall County","AL","Albertville",115063.833333333
"Lauderdale County","AL","Florence-Muscle Shoals",126862.75
"Tuscarawas County","OH","New Philadelphia-Dover",129678.25
"Bowie County","TX","Texarkana",117426.083333333
"Orangeburg County","SC","Orangeburg",93820.1666666667
"Roanoke County","VA","Roanoke",194932.833333333
"Laramie County","WY","Cheyenne",258797
"Lawrence County","PA","New Castle",97956.5
"Carver County","MN","Minneapolis-St. Paul-Bloomington",334684.25
"Flathead County","MT","Kalispell",317352.916666667
"Burke County","NC","Hickory-Lenoir-Morganton",134109.25
"Campbell County","KY","Cincinnati",165459.25
"Sevier County","TN","Sevierville",196736.416666667
"Story County","IA","Ames",198324.25
"Gallatin County","MT","Bozeman",402997.083333333
"Platte County","MO","Kansas City",228812.75
"Buchanan County","MO","St. Joseph",106661.916666667
"Grant County","WA","Moses Lake",191207.25
"Grafton County","NH","Claremont-Lebanon",210122.083333333
"Matanuska Susitna Borough","AK","Anchorage",268820.916666667
"Indiana County","PA","Indiana",119798.75
"Chemung County","NY","Elmira",98647.6666666667
"Crawford County","PA","Meadville",100030.583333333
"Dodge County","WI","Beaver Dam",155211
"Calvert County","MD","Washington-Arlington-Alexandria",340866.833333333
"Sherburne County","MN","Minneapolis-St. Paul-Bloomington",247958.25
"Lapeer County","MI","Detroit-Warren-Dearborn",187152.25
"Moore County","NC","Pinehurst-Southern Pines",206085.666666667
"Mendocino County","CA","Ukiah",383451.166666667
"Grand Traverse County","MI","Traverse City",239773.083333333
"Wood County","WV","Parkersburg-Vienna",106067.166666667
"Rogers County","OK","Tulsa",161335.916666667
"Angelina County","TX","Lufkin",118217.75
"Ozaukee County","WI","Milwaukee-Waukesha-West Allis",299745.75
"Hunt County","TX","Dallas-Fort Worth-Arlington",157088.416666667
"Muskingum County","OH","Zanesville",110338.5
"Benton County","OR","Corvallis",356135.166666667
"Rockdale County","GA","Atlanta-Sandy Springs-Roswell",170171.166666667
"Suffolk City","VA","Virginia Beach-Norfolk-Newport News",241525.333333333
"Saint Croix County","WI","Minneapolis-St. Paul-Bloomington",260302.833333333
"Walton County","GA","Atlanta-Sandy Springs-Roswell",201840.75
"Jefferson County","WI","Watertown-Fort Atkinson",204021.75
"Midland County","MI","Midland",133972.166666667
"Saint Clair County","AL","Birmingham-Hoover",174641.5
"Saint Landry Parish","LA","Opelousas",114081.666666667
"Caldwell County","NC","Hickory-Lenoir-Morganton",122146.083333333
"Madison County","KY","Richmond-Berea",162058.75
"Lee County","MS","Tupelo",123012
"Newport County","RI","Providence-Warwick",427999.166666667
"Bannock County","ID","Pocatello",168512.666666667
"Limestone County","AL","Huntsville",161877.583333333
"Howard County","IN","Kokomo",102367.333333333
"Josephine County","OR","Grants Pass",291441
"Talladega County","AL","Talladega-Sylacauga",97289.1666666667
"Clinton County","NY","Plattsburgh",136649
"Orange County","TX","Beaumont-Port Arthur",130068.25
"Clearfield County","PA","DuBois",95043.4166666667
"Vermilion County","IL","Danville",65972.9166666667
"Manitowoc County","WI","Manitowoc",113424.166666667
"Cascade County","MT","Great Falls",183043
"Burleigh County","ND","Bismarck",272564.666666667
"Wilson County","NC","Wilson",117127.833333333
"Maury County","TN","Nashville-Davidson--Murfreesboro--Franklin",212902.083333333
"Cullman County","AL","Cullman",125348.333333333
"Cattaraugus County","NY","Olean",78057
"Lauderdale County","MS","Meridian",99332.5
"Cayuga County","NY","Auburn",123747.166666667
"Glynn County","GA","Brunswick",208889.5
"Scioto County","OH","Portsmouth",79176.25
"Elmore County","AL","Montgomery",160870.5
"Raleigh County","WV","Beckley",85949.4166666667
"Henderson County","TX","Athens",141202.333333333
"Island County","WA","Oak Harbor",397024.833333333
"Rockwall County","TX","Dallas-Fort Worth-Arlington",284054.166666667
"Frederick County","VA","Winchester",263732
"Lincoln County","NC","Charlotte-Concord-Gastonia",217452.416666667
"Franklin County","WA","Kennewick-Richland",238466.916666667
"Ross County","OH","Chillicothe",114570.583333333
"Somerset County","PA","Somerset",103827.666666667
"Sullivan County","NY","",155252.666666667
"Jefferson County","AR","Pine Bluff",54723.1666666667
"Christian County","MO","Springfield",170173.083333333
"Kosciusko County","IN","Warsaw",168925.083333333
"Payne County","OK","Stillwater",140808.833333333
"Twin Falls County","ID","Twin Falls",192167.583333333
"Cheshire County","NH","Keene",197154.833333333
"Erie County","OH","Sandusky",129242.083333333
"White County","AR","Searcy",119815.5
"Bartholomew County","IN","Columbus",157076.5
"Lancaster County","SC","Charlotte-Concord-Gastonia",199203.416666667
"Valencia County","NM","Albuquerque",140093.666666667
"Rockingham County","VA","Harrisonburg",211328.083333333
"Van Buren County","MI","Kalamazoo-Portage",158944.666666667
"Leavenworth County","KS","Kansas City",196540.833333333
"Cole County","MO","Jefferson City",153996.25
"Umatilla County","OR","Hermiston-Pendleton",191468
"Cape Girardeau County","MO","Cape Girardeau",159513.583333333
"Liberty County","TX","Houston-The Woodlands-Sugar Land",139713.75
"Lynchburg City","VA","Lynchburg",138084
"Lewis County","WA","Centralia",227152.166666667
"Natrona County","WY","Casper",193452.083333333
"Polk County","OR","Salem",301653.416666667
"Coryell County","TX","Killeen-Temple",130851.333333333
"Clinton County","MI","Lansing-East Lansing",191082.916666667
"Anderson County","TN","Knoxville",138251.083333333
"Allegany County","MD","Cumberland",89806
"Forrest County","MS","Hattiesburg",114019.333333333
"Hancock County","OH","Findlay",142085.25
"Wood County","WI","Wisconsin Rapids-Marshfield",120824.916666667
"Floyd County","IN","Louisville/Jefferson County",172103.333333333
"Putnam County","FL","Palatka",109982.083333333
"Bullitt County","KY","Louisville/Jefferson County",167425.833333333
"Oconee County","SC","Seneca",157003.666666667
"Bastrop County","TX","Austin-Round Rock",227387.166666667
"Christian County","KY","Clarksville",98637.4166666667
"Augusta County","VA","Staunton-Waynesboro",215147.166666667
"Surry County","NC","Mount Airy",125499.583333333
"Madison County","NY","Syracuse",132908.416666667
"Nassau County","FL","Jacksonville",271120
"Iberia Parish","LA","Lafayette",98615.3333333333
"Monroe County","FL","Key West",583193.583333333
"Wagoner County","OK","Tulsa",159766.5
"Grays Harbor County","WA","Aberdeen",172246.916666667
"Chelan County","WA","Wenatchee",330059.333333333
"Putnam County","TN","Cookeville",155622.833333333
"Yuba County","CA","Yuba City",260367.333333333
"Aroostook County","ME","",97821.8333333333
"Apache County","AZ","",169959.25
"McKinley County","NM","Gallup",154897.083333333
"Clallam County","WA","Port Angeles",282699.416666667
"Franklin County","MA","Greenfield Town",231685.916666667
"Riley County","KS","Manhattan",186940.75
"De Kalb County","AL","Fort Payne",93105.75
"Muskogee County","OK","Muskogee",75090.4166666667
"Shiawassee County","MI","Owosso",111442.666666667
"Belmont County","OH","Wheeling",94537.3333333333
"Isabella County","MI","Mount Pleasant",133251.75
"Bulloch County","GA","Statesboro",148731.333333333
"Grant County","IN","Marion",81568.6666666667
"Portage County","WI","Stevens Point",171126
"Hancock County","IN","Indianapolis-Carmel-Anderson",188016.083333333
"Creek County","OK","Tulsa",109567.333333333
"Jefferson County","OH","Weirton-Steubenville",74787.1666666667
"Greenwood County","SC","Greenwood",104679
"Pottawatomie County","OK","Shawnee",90883.1666666667
"Barrow County","GA","Atlanta-Sandy Springs-Roswell",176173.416666667
"Wilkes County","NC","North Wilkesboro",122957.416666667
"Harrison County","WV","Clarksburg",100118.583333333
"Armstrong County","PA","Pittsburgh",101505.5
"Wayne County","IN","Richmond",98642.5
"Morgan County","IN","Indianapolis-Carmel-Anderson",162478.333333333
"Greene County","TN","Greeneville",103101.166666667
"Walker County","GA","Chattanooga",115533.75
"Darlington County","SC","Florence",90967.6666666667
"Bedford County","VA","Lynchburg",210276.916666667
"Lonoke County","AR","Little Rock-North Little Rock-Conway",135621.666666667
"Walker County","TX","Huntsville",181227.833333333
"Rutherford County","NC","Forest City",114754.166666667
"Jones County","MS","Laurel",100917.166666667
"Columbia County","FL","Lake City",150626
"Columbia County","PA","Bloomsburg-Berwick",148270.583333333
"Adams County","IL","Quincy",119145.75
"Kauai County","HI","Kapaa",553433.25
"Marquette County","MI","Marquette",156186.833333333
"Troup County","GA","LaGrange",116010.5
"Walker County","AL","Birmingham-Hoover",88302.6666666667
"James City County","VA","Virginia Beach-Norfolk-Newport News",320530.5
"Grand Forks County","ND","Grand Forks",215369.5
"Laurens County","SC","Greenville-Anderson-Mauldin",89076.25
"Marion County","OH","Marion",93372.8333333333
"Carteret County","NC","Morehead City",257411.416666667
"Klamath County","OR","Klamath Falls",170811.916666667
"Williamson County","IL","Carbondale-Marion",101338.166666667
"Robertson County","TN","Nashville-Davidson--Murfreesboro--Franklin",209568.75
"Dallas County","IA","Des Moines-West Des Moines",240842.916666667
"Salem County","NJ","Philadelphia-Camden-Wilmington",158113.666666667
"Butler County","KS","Wichita",150316.166666667
"Warren County","NY","Glens Falls",203690.083333333
"Chaves County","NM","Roswell",95491.1666666667
"Harrison County","TX","Marshall",131082
"McCracken County","KY","Paducah",110330
"York County","VA","Virginia Beach-Norfolk-Newport News",298893.416666667
"Livingston County","NY","Rochester",132181.833333333
"Saint Francois County","MO","Farmington",109968.333333333
"Carbon County","PA","Allentown-Bethlehem-Easton",144556.25
"Fauquier County","VA","Washington-Arlington-Alexandria",402403.083333333
"Pike County","KY","",44860.6666666667
"San Patricio County","TX","Corpus Christi",149971.75
"Athens County","OH","Athens",108582.75
"Lea County","NM","Hobbs",152822.166666667
"Lake County","CA","Clearlake",241667.75
"Nacogdoches County","TX","Nacogdoches",145975.25
"Herkimer County","NY","Utica-Rome",105485.666666667
"Reno County","KS","Hutchinson",96972.8333333333
"Rice County","MN","Faribault-Northfield",233950.333333333
"Spalding County","GA","Atlanta-Sandy Springs-Roswell",116334.75
"Blue Earth County","MN","Mankato-North Mankato",204184.666666667
"Catoosa County","GA","Chattanooga",148095.416666667
"Ionia County","MI","Ionia",126535.583333333
"Otero County","NM","Alamogordo",120346
"Pittsylvania County","VA","Danville",128517.5
"Chatham County","NC","Durham-Chapel Hill",309665.833333333
"Tehama County","CA","Red Bluff",207883.916666667
"Liberty County","GA","Hinesville",143165.166666667
"Sampson County","NC","",111081.583333333
"Lewis and Clark County","MT","Helena",252033.833333333
"Montcalm County","MI","Grand Rapids-Wyoming",121709.166666667
"Washington County","NY","Glens Falls",155312.083333333
"Columbia County","NY","Hudson",236067.583333333
"Pulaski County","KY","Somerset",136387.166666667
"Coos County","OR","Coos Bay",201477.333333333
"Bradford County","PA","Sayre",130677.666666667
"Hamblen County","TN","Morristown",129225.75
"Crow Wing County","MN","Brainerd",189781.333333333
"Lawrence County","OH","Huntington-Ashland",99644.0833333333
"Chippewa County","WI","Eau Claire",157530.166666667
"Mercer County","WV","Bluefield",68042.25
"Otsego County","NY","Oneonta",146363.25
"Sauk County","WI","Baraboo",184702.25
"Crawford County","AR","Fort Smith",113355.916666667
"Washington County","OH","Marietta",116087.916666667
"Acadia Parish","LA","Lafayette",99677.25
"Pope County","AR","Russellville",116799.75
"Kershaw County","SC","Columbia",118113
"Ward County","ND","Minot",217150.916666667
"Rutland County","VT","Rutland",175663.666666667
"Saint Joseph County","MI","Sturgis",119243.833333333
"Tipton County","TN","Memphis",140536.416666667
"Starr County","TX","Rio Grande City",58628.75
"Sandusky County","OH","Fremont",115546.916666667
"Knox County","OH","Mount Vernon",130286.833333333
"Mason County","WA","Shelton",264121.666666667
"Franklin County","NC","Raleigh",181343.75
"Stanly County","NC","Albemarle",140834.833333333
"Garfield County","OK","Enid",87415.9166666667
"Jackson County","GA","Jefferson",211106.25
"Oldham County","KY","Louisville/Jefferson County",295395.333333333
"Jackson County","IL","Carbondale-Marion",121035.25
"Georgetown County","SC","Georgetown",251050.833333333
"Belknap County","NH","Laconia",249828.916666667
"Genesee County","NY","Batavia",123458.5
"Granville County","NC","Oxford",170079.166666667
"Lowndes County","MS","Columbus",108034.333333333
"Warrick County","IN","Evansville",172168.333333333
"Huron County","OH","Norwalk",105852.583333333
"Washington County","VT","Barre",214060.083333333
"Lenoir County","NC","Kinston",87737.5
"Barry County","MI","Grand Rapids-Wyoming",176663
"Wise County","TX","Dallas-Fort Worth-Arlington",224034.916666667
"Haywood County","NC","Asheville",192648.833333333
"Clay County","MN","Fargo",200740.583333333
"Laurel County","KY","London",108149.666666667
"Walla Walla County","WA","Walla Walla",256970.166666667
"Hall County","NE","Grand Island",152440.666666667
"Duplin County","NC","",83889.5
"Whiteside County","IL","Sterling",105669.083333333
"Anderson County","TX","Palestine",103575.083333333
"Tooele County","UT","Salt Lake City",258401.333333333
"Newton County","MO","Joplin",120695.333333333
"Columbus County","NC","",93842.0833333333
"Vermilion Parish","LA","Lafayette",138991.083333333
"Lee County","NC","Sanford",136270.25
"Oxford County","ME","",162009.166666667
"Carter County","TN","Johnson City",121998.583333333
"Pike County","PA","New York-Newark-Jersey City",158726.75
"Blount County","AL","Birmingham-Hoover",135182.333333333
"Otter Tail County","MN","Fergus Falls",226229.75
"Hawkins County","TN","Kingsport-Bristol-Bristol",118978.416666667
"Columbia County","WI","Madison",195124.583333333
"Seneca County","OH","Tiffin",101570.333333333
"Windsor County","VT","Claremont-Lebanon",240766.75
"Boone County","IN","Indianapolis-Carmel-Anderson",247566.75
"Edgecombe County","NC","Rocky Mount",55550.75
"Marion County","WV","Fairmont",102554.75
"Garfield County","CO","Glenwood Springs",390917.416666667
"Franklin County","VA","Roanoke",202910.916666667
"Cumberland County","TN","Crossville",147432.916666667
"Broomfield County","CO","Denver-Aurora-Lakewood",453521.916666667
"Pearl River County","MS","Picayune",134284.333333333
"Tuscola County","MI","",92134.9166666667
"Pickaway County","OH","Columbus",169413.583333333
"Lamar County","MS","Hattiesburg",172819.333333333
"Saline County","KS","Salina",122694.25
"Fulton County","NY","Gloversville",122275.75
"Putnam County","WV","Huntington-Ashland",155382.5
"Kenai Peninsula Borough","AK","",218094.916666667
"Tuolumne County","CA","Sonora",274401.833333333
"Cherokee County","SC","Gaffney",79152.1666666667
"Carson City","NV","Carson City",309944.083333333
"San Benito County","CA","San Jose-Sunnyvale-Santa Clara",570258.333333333
"Gordon County","GA","Calhoun",133915.833333333
"Walton County","FL","Crestview-Fort Walton Beach-Destin",380265.25
"Venango County","PA","Oil City",80148
"Washington County","VA","Kingsport-Bristol-Bristol",148303.166666667
"Campbell County","VA","Lynchburg",166610.916666667
"Halifax County","NC","Roanoke Rapids",64556.5833333333
"Saint Mary Parish","LA","Morgan City",109506.166666667
"Hardin County","TX","Beaumont-Port Arthur",168028.75
"Autauga County","AL","Montgomery",156874.5
"Colbert County","AL","Florence-Muscle Shoals",104606.75
"Hancock County","ME","",226548.666666667
"Maverick County","TX","Eagle Pass",129835.083333333
"Roane County","TN","Knoxville",144433.083333333
"Boone County","IL","Rockford",167662.666666667
"Henry County","VA","Martinsville",84691
"Chisago County","MN","Minneapolis-St. Paul-Bloomington",253598.5
"Coles County","IL","Charleston-Mattoon",85220.5
"Gila County","AZ","Payson",216622.5
"Jefferson County","WV","Washington-Arlington-Alexandria",221309.75
"Ogle County","IL","Rochelle",130148
"Rusk County","TX","Longview",132991.333333333
"Jackson County","AL","Scottsboro",105918.416666667
"Ashland County","OH","Ashland",132161.166666667
"Darke County","OH","Greenville",123942.666666667
"Russell County","AL","Columbus",95319.3333333333
"Knox County","IL","Galesburg",74464.6666666667
"Wayne County","PA","",170136.333333333
"Coffee County","TN","Tullahoma-Manchester",140102.083333333
"Saint Charles Parish","LA","New Orleans-Metairie",179825.166666667
"Johnson County","MO","Warrensburg",158654.333333333
"Van Zandt County","TX","",152378.25
"Lincoln County","MO","St. Louis",180106.833333333
"Grady County","OK","Oklahoma City",120104.833333333
"Waupaca County","WI","",135927.916666667
"Vernon Parish","LA","Fort Polk South",137487.666666667
"Union County","OH","Columbus",237271.583333333
"Cass County","MI","South Bend-Mishawaka",149650.75
"Pulaski County","MO","Fort Leonard Wood",154652.666666667
"McMinn County","TN","Athens",126908.25
"Effingham County","GA","Savannah",186451
"Somerset County","ME","",110688.916666667
"Pender County","NC","Wilmington",241147.5
"Eagle County","CO","Edwards",727314.416666667
"Saint Martin Parish","LA","Lafayette",112354.166666667
"Lyon County","NV","Fernley",257379.333333333
"Taney County","MO","Branson",134799.583333333
"Franklin County","NY","Malone",104344.75
"Winona County","MN","Winona",183343.75
"Worcester County","MD","Salisbury",254005.083333333
"Jefferson County","TN","Morristown",142228.916666667
"La Plata County","CO","Durango",410872.5
"Grant County","WI","Platteville",128822
"Hood County","TX","Dallas-Fort Worth-Arlington",231431.916666667
"Washington County","MS","Greenville",610603.416666667
"Tioga County","NY","Binghamton",129982.833333333
"Watauga County","NC","Boone",253828.333333333
"Washington County","OK","Bartlesville",97885.3333333333
"Crittenden County","AR","Memphis",94778
"Cherokee County","TX","Jacksonville",112784.166666667
"Camden County","GA","St. Marys",166150.666666667
"Henry County","IL","Davenport-Moline-Rock Island",119013.333333333
"Chenango County","NY","",102125.083333333
"LeFlore County","OK","Fort Smith",76122.6666666667
"Dale County","AL","Ozark",89902.1666666667
"Montgomery County","NY","Amsterdam",111973.25
"Grundy County","IL","Chicago-Naperville-Elgin",188357.083333333
"Dearborn County","IN","Cincinnati",179872.333333333
"Box Elder County","UT","Ogden-Clearfield",224220.833333333
"Coffee County","AL","Enterprise",119923.166666667
"Bristol County","RI","Providence-Warwick",358311.916666667
"Lamar County","TX","Paris",104094.833333333
"Bedford County","PA","",145848.833333333
"Jackson County","FL","",96415.1666666667
"Gibson County","TN","",79160.25
"Dickson County","TN","Nashville-Davidson--Murfreesboro--Franklin",173228.25
"Kerr County","TX","Kerrville",220186.833333333
"Boyd County","KY","Huntington-Ashland",81571.25
"Henry County","IN","New Castle",89593.25
"Shelby County","OH","Sidney",134454.583333333
"Columbia County","OR","Portland-Vancouver-Hillsboro",284594.166666667
"Cortland County","NY","Cortland",124866
"Franklin County","KY","Frankfort",144148.833333333
"Greene County","NY","",187761.916666667
"Clinton County","IA","Clinton",138875.75
"Calumet County","WI","Appleton",203035.666666667
"Allegany County","NY","",73611.9166666667
"Harrisonburg City","VA","Harrisonburg",191077.416666667
"Val Verde County","TX","Del Rio",117568.25
"Elko County","NV","Elko",301150.75
"Warren County","MS","Vicksburg",121938.166666667
"Jessamine County","KY","Lexington-Fayette",164622.25
"Loudon County","TN","Knoxville",209599.083333333
"Newaygo County","MI","",123127.25
"Laurens County","GA","Dublin",104919.25
"Curry County","NM","Clovis",152678.833333333
"Delaware County","NY","",149362.25
"Carroll County","NH","",256265.166666667
"Queen Annes County","MD","Baltimore-Columbia-Towson",333110.666666667
"Macoupin County","IL","St. Louis",87841.0833333333
"Beaufort County","NC","Washington",133716.5
"Franklin County","VT","Burlington-South Burlington",209919.75
"Navarro County","TX","Corsicana",101559.833333333
"Stephenson County","IL","Freeport",60681.0833333333
"Oktibbeha County","MS","Starkville",172744.75
"Carter County","OK","Ardmore",88862.25
"Noble County","IN","Kendallville",126373.666666667
"Osage County","OK","Tulsa",110441.083333333
"Santa Cruz County","AZ","Nogales",152105.833333333
"Stokes County","NC","Winston-Salem",146661
"Lafayette County","MS","Oxford",181761.583333333
"Scott County","KY","Lexington-Fayette",188605.416666667
"Washington Parish","LA","Bogalusa",95065.0833333333
"Marshall County","IN","Plymouth",145351
"Douglas County","NV","Gardnerville Ranchos",423914.75
"Cherokee County","OK","Tahlequah",103254.416666667
"Hoke County","NC","Fayetteville",168011.416666667
"Hopkins County","KY","Madisonville",83867.0833333333
"Fremont County","CO","Cañon City",224997.75
"Lincoln Parish","LA","Ruston",141809.416666667
"Chesterfield County","SC","",102768.416666667
"Culpeper County","VA","Washington-Arlington-Alexandria",284757.75
"Hillsdale County","MI","Hillsdale",128488.583333333
"Mifflin County","PA","Lewistown",95891.5
"Richmond County","NC","Rockingham",73344.5
"Kay County","OK","Ponca City",61629.5
"Mississippi County","AR","Blytheville",49840.4166666667
"Gadsden County","FL","Tallahassee",107302.083333333
"Henderson County","KY","Evansville",110229.833333333
"Warren County","IA","Des Moines-West Des Moines",189727.25
"Goodhue County","MN","Red Wing",204753.833333333
"Iron County","UT","Cedar City",222272.416666667
"Lawrence County","IN","Bedford",101673.916666667
"Campbell County","WY","Gillette",263163.25
"Buffalo County","NE","Kearney",192739.75
"Fayette County","WV","Beckley",71857.4166666667
"Lincoln County","OR","Newport",277707.416666667
"Medina County","TX","San Antonio-New Braunfels",216820.25
"Perry County","PA","Harrisburg-Carlisle",177546
"Auglaize County","OH","Wapakoneta",130778.333333333
"Saint John the Baptist Parish","LA","New Orleans-Metairie",141571.75
"Huntingdon County","PA","Huntingdon",113251.5
"Barron County","WI","",148451.333333333
"Logan County","OH","Bellefontaine",133740.583333333
"Pittsburg County","OK","McAlester",80599.6666666667
"Baldwin County","GA","Milledgeville",129015.583333333
"Bingham County","ID","Blackfoot",181383.166666667
"Calaveras County","CA","",311367.333333333
"Colquitt County","GA","Moultrie",87988.8333333333
"Vance County","NC","Henderson",77765.5
"Polk County","TX","",116668.5
"Branch County","MI","Coldwater",115215.75
"Jefferson County","PA","",77471.8333333333
"Phelps County","MO","Rolla",133834.916666667
"Tazewell County","VA","Bluefield",90847.25
"Itasca County","MN","Grand Rapids",166062.166666667
"Bedford County","TN","Shelbyville",157038.416666667
"Stephens County","OK","Duncan",81413.8333333333
"McDowell County","NC","Marion",143578.416666667
"Union County","PA","Lewisburg",171910.583333333
"Atascosa County","TX","San Antonio-New Braunfels",150846.666666667
"Siskiyou County","CA","",192067.166666667
"Brown County","OH","Cincinnati",118315.583333333
"Lincoln County","SD","Sioux Falls",219017.833333333
"Whitman County","WA","Pullman",262887
"Thomas County","GA","Thomasville",135650.75
"Monroe County","WI","",151696.333333333
"Monroe County","TN","",137153.333333333
"Windham County","VT","",213734.083333333
"Ohio County","WV","Wheeling",102602.416666667
