"state","county","ownership","resident_count","avg_annual_pay","position"
"Arkansas","Randolph County","Total Covered",405,31969.01,15
"Arkansas","St. Francis County","Total Covered",715,36849.01,18
"Arkansas","Saline County","Total Covered",2043,35920.01,13
"Arkansas","Scott County","Total Covered",186,30842.01,12
"Arkansas","Searcy County","Total Covered",180,27034.01,13
"Arkansas","Sebastian County","Total Covered",3733,42752.01,16
"Arkansas","Sevier County","Total Covered",320,33215.01,13
"Arkansas","Sharp County","Total Covered",395,28203.01,12
"Arkansas","Stone County","Total Covered",284,29406.01,12
"Arkansas","Union County","Total Covered",1310,48926.01,12
"Arkansas","Van Buren County","Total Covered",348,35339.01,16
"Arkansas","Washington County","Total Covered",6147,46148.01,17
"Arkansas","White County","Total Covered",1812,37239.01,12
"Arkansas","Woodruff County","Total Covered",211,35700.01,15
"Arkansas","Yell County","Total Covered",427,31809.01,11
"Arkansas","Unknown Or Undefined","Total Covered",10183,58833.01,20
"California","Alameda County","Total Covered",64280,76228.01,14
"California","Alpine County","Total Covered",80,36597.01,13
"California","Amador County","Total Covered",1156,44721.01,13
"California","Butte County","Total Covered",8635,42782.01,12
"California","Calaveras County","Total Covered",1333,40239.01,16
"California","Colusa County","Total Covered",850,44379.01,13
"California","Contra Costa County","Total Covered",32671,69004.01,19
"California","Del Norte County","Total Covered",815,39085.01,16
"California","El Dorado County","Total Covered",5539,50359.01,16
"California","Fresno County","Total Covered",36234,44096.01,13
"California","Glenn County","Total Covered",1193,42525.01,12
"California","Humboldt County","Total Covered",5685,40672.01,15
"California","Imperial County","Total Covered",7570,40115.01,15
"California","Inyo County","Total Covered",738,43966.01,11
"California","Kern County","Total Covered",19683,46509.01,11
"California","Kings County","Total Covered",4059,43430.01,12
"California","Lake County","Total Covered",3202,39196.01,11
"California","Lassen County","Total Covered",723,47911.01,13
"California","Los Angeles County","Total Covered",495918,64921.01,18
"California","Madera County","Total Covered",4322,43443.01,13
"California","Marin County","Total Covered",12437,72662.01,12
"California","Mariposa County","Total Covered",529,39900.01,15
"California","Mendocino County","Total Covered",4229,40019.01,16
"California","Merced County","Total Covered",6692,42048.01,13
"California","Modoc County","Total Covered",371,38976.01,12
"California","Mono County","Total Covered",640,38673.01,11
"California","Monterey County","Total Covered",13940,48027.01,15
"California","Napa County","Total Covered",5871,55640.01,11
"California","Nevada County","Total Covered",3685,45446.01,13
"California","Orange County","Total Covered",122553,62414.01,13
"California","Placer County","Total Covered",13245,55698.01,13
"California","Plumas County","Total Covered",878,42999.01,13
"California","Riverside County","Total Covered",65889,45097.01,16
"California","Sacramento County","Total Covered",58999,60421.01,17
"California","San Benito County","Total Covered",1605,48428.01,17
"California","San Bernardino County","Total Covered",60303,46906.01,21
"California","San Diego County","Total Covered",112054,61926.01,16
"California","San Francisco County","Total Covered",60779,118442.01,20
"California","San Joaquin County","Total Covered",18060,47130.01,18
"California","San Luis Obispo County","Total Covered",10448,48180.01,22
"California","San Mateo County","Total Covered",28333,126411.01,16
"California","Santa Barbara County","Total Covered",15485,54051.01,20
"California","Santa Clara County","Total Covered",73083,134664.01,18
"California","Santa Cruz County","Total Covered",9501,51268.01,17
"California","Shasta County","Total Covered",7067,43866.01,13
"California","Sierra County","Total Covered",126,39830.01,13
"California","Siskiyou County","Total Covered",1758,41250.01,15
"California","Solano County","Total Covered",11620,58642.01,13
"California","Sonoma County","Total Covered",20145,54653.01,13
"California","Stanislaus County","Total Covered",15913,47829.01,17
"California","Sutter County","Total Covered",3288,41584.01,13
"California","Tehama County","Total Covered",1892,43349.01,13
"California","Trinity County","Total Covered",430,41366.01,14
"California","Tulare County","Total Covered",10816,39945.01,13
"California","Tuolumne County","Total Covered",1629,44148.01,15
"California","Ventura County","Total Covered",27497,55235.01,14
"California","Yolo County","Total Covered",6788,60801.01,11
"California","Yuba County","Total Covered",1683,51348.01,11
"California","Unknown Or Undefined","Total Covered",48862,90253.01,20
"Colorado","Adams County","Total Covered",11306,54751.01,12
"Colorado","Alamosa County","Total Covered",625,38038.01,14
"Colorado","Arapahoe County","Total Covered",22346,66387.01,15
"Colorado","Archuleta County","Total Covered",588,34973.01,16
"Colorado","Baca County","Total Covered",115,31696.01,11
"Colorado","Bent County","Total Covered",102,35617.01,11
"Colorado","Boulder County","Total Covered",15658,67668.01,14
"Colorado","Broomfield County","Total Covered",2892,83952.01,17
"Colorado","Chaffee County","Total Covered",1033,37367.01,14
"Colorado","Cheyenne County","Total Covered",90,40805.01,15
"Colorado","Clear Creek County","Total Covered",377,46176.01,18
"Colorado","Conejos County","Total Covered",174,30721.01,14
"Colorado","Costilla County","Total Covered",97,30033.01,15
"Colorado","Crowley County","Total Covered",63,41136.01,14
"Colorado","Custer County","Total Covered",147,33042.01,13
"Colorado","Delta County","Total Covered",912,35247.01,12
"Colorado","Denver County","Total Covered",33421,70725.01,13
"Colorado","Dolores County","Total Covered",83,33943.01,14
"Colorado","Douglas County","Total Covered",12329,64304.01,14
"Colorado","Eagle County","Total Covered",3530,45844.01,12
"Colorado","Elbert County","Total Covered",681,42410.01,13
"Colorado","El Paso County","Total Covered",20242,50480.01,14
"Colorado","Fremont County","Total Covered",938,41073.01,14
"Colorado","Garfield County","Total Covered",2667,49500.01,15
"Colorado","Gilpin County","Total Covered",171,45414.01,13
"Colorado","Grand County","Total Covered",879,35881.01,12
"Colorado","Gunnison County","Total Covered",1216,37907.01,15
"Colorado","Hinsdale County","Total Covered",83,30513.01,15
"Colorado","Huerfano County","Total Covered",184,35811.01,15
"Colorado","Jackson County","Total Covered",89,39910.01,14
"Colorado","Jefferson County","Total Covered",20492,59099.01,16
"Colorado","Kiowa County","Total Covered",55,35995.01,12
"Colorado","Kit Carson County","Total Covered",299,36323.01,17
"Colorado","Lake County","Total Covered",246,41244.01,11
"Colorado","La Plata County","Total Covered",2664,46818.01,15
"Colorado","Larimer County","Total Covered",12470,51808.01,14
"Colorado","Las Animas County","Total Covered",584,39826.01,17
"Colorado","Lincoln County","Total Covered",163,38312.01,14
"Colorado","Logan County","Total Covered",663,39969.01,12
"Colorado","Mesa County","Total Covered",4968,44431.01,11
"Colorado","Mineral County","Total Covered",69,29366.01,14
"Colorado","Moffat County","Total Covered",467,48982.01,13
"Colorado","Montezuma County","Total Covered",932,36687.01,16
"Colorado","Montrose County","Total Covered",1396,39523.01,15
"Colorado","Morgan County","Total Covered",819,45392.01,13
"Colorado","Otero County","Total Covered",513,35626.01,12
"Colorado","Ouray County","Total Covered",349,36699.01,12
"Colorado","Park County","Total Covered",560,39181.01,11
"Colorado","Phillips County","Total Covered",166,37669.01,15
"Colorado","Pitkin County","Total Covered",1839,52709.01,13
"Colorado","Prowers County","Total Covered",396,34486.01,14
"Colorado","Pueblo County","Total Covered",3483,43190.01,13
"Colorado","Rio Blanco County","Total Covered",262,51196.01,17
"Colorado","Rio Grande County","Total Covered",432,38887.01,17
"Colorado","Routt County","Total Covered",1819,43584.01,12
"Colorado","Saguache County","Total Covered",204,32116.01,15
"Colorado","San Juan County","Total Covered",81,26683.01,15
"Colorado","San Miguel County","Total Covered",712,41329.01,17
"Colorado","Sedgwick County","Total Covered",90,35838.01,15
"Colorado","Summit County","Total Covered",2321,40766.01,13
"Colorado","Teller County","Total Covered",913,39518.01,13
"Colorado","Washington County","Total Covered",156,42121.01,17
"Colorado","Weld County","Total Covered",7586,51847.01,11
"Colorado","Yuma County","Total Covered",429,39375.01,11
"Colorado","Unknown Or Undefined","Total Covered",3507,88517.01,20
"Connecticut","Fairfield County","Total Covered",36003,86216.01,16
"Connecticut","Hartford County","Total Covered",28542,67898.01,15
"Connecticut","Litchfield County","Total Covered",6124,47419.01,17
"Connecticut","Middlesex County","Total Covered",5342,55702.01,16
"Connecticut","New Haven County","Total Covered",24687,56777.01,16
"Connecticut","New London County","Total Covered",7684,55559.01,17
"Connecticut","Tolland County","Total Covered",3278,50083.01,14
"Connecticut","Windham County","Total Covered",2930,44509.01,14
"Connecticut","Unknown Or Undefined","Total Covered",6284,100893.01,20
"Delaware","Kent County","Total Covered",4230,43841.01,11
"Delaware","New Castle County","Total Covered",20522,63874.01,17
"Delaware","Sussex County","Total Covered",7154,40498.01,13
"Delaware","Unknown Or Undefined","Total Covered",1242,75209.01,20
"District of Columbia","District of Columbi","Total Covered",39689,95909.01,-2
"District of Columbia","Unknown Or Undef.","Total Covered",6,78338.01,17
"Florida","Alachua County","Total Covered",7218,47858.01,14
"Florida","Baker County","Total Covered",427,33877.01,12
"Florida","Bay County","Total Covered",5645,40652.01,10
"Florida","Bradford County","Total Covered",541,37468.01,15
"Florida","Brevard County","Total Covered",15996,49685.01,14
"Florida","Broward County","Total Covered",69539,52977.01,14
"Florida","Calhoun County","Total Covered",239,32746.01,14
"Florida","Charlotte County","Total Covered",4667,38922.01,16
"Florida","Citrus County","Total Covered",3145,37288.01,13
"Florida","Clay County","Total Covered",4484,39490.01,11
"Florida","Collier County","Total Covered",14290,48697.01,14
"Florida","Columbia County","Total Covered",1575,38204.01,15
"Florida","DeSoto County","Total Covered",647,36489.01,13
"Florida","Dixie County","Total Covered",236,35228.01,12
"Florida","Duval County","Total Covered",29624,53569.01,12
"Florida","Escambia County","Total Covered",8140,44262.01,15
"Florida","Flagler County","Total Covered",2543,35493.01,14
"Florida","Franklin County","Total Covered",369,31600.01,15
"Florida","Gadsden County","Total Covered",852,36571.01,14
"Florida","Gilchrist County","Total Covered",335,33200.01,16
"Florida","Glades County","Total Covered",175,42009.01,13
"Florida","Gulf County","Total Covered",410,36906.01,11
"Florida","Hamilton County","Total Covered",217,45410.01,15
"Florida","Hardee County","Total Covered",563,34934.01,13
"Florida","Hendry County","Total Covered",880,40841.01,13
"Florida","Hernando County","Total Covered",3732,37411.01,15
"Florida","Highlands County","Total Covered",2335,34535.01,16
"Florida","Hillsborough County","Total Covered",43201,54564.01,19
"Florida","Holmes County","Total Covered",348,31553.01,13
"Florida","Indian River County","Total Covered",5114,42879.01,19
"Florida","Jackson County","Total Covered",942,35620.01,14
"Florida","Jefferson County","Total Covered",313,33905.01,16
"Florida","Lafayette County","Total Covered",128,33359.01,16
"Florida","Lake County","Total Covered",8368,38237.01,11
"Florida","Lee County","Total Covered",22462,44827.01,10
"Florida","Leon County","Total Covered",8737,45272.01,11
"Florida","Levy County","Total Covered",955,32670.01,11
"Florida","Liberty County","Total Covered",120,39206.01,14
"Florida","Madison County","Total Covered",363,32979.01,14
"Florida","Manatee County","Total Covered",11037,43043.01,14
"Florida","Marion County","Total Covered",8475,38265.01,13
"Florida","Martin County","Total Covered",6356,42308.01,13
"Florida","Miami-Dade County","Total Covered",99022,54800.01,17
"Florida","Monroe County","Total Covered",4519,42772.01,13
"Florida","Nassau County","Total Covered",2190,41359.01,13
"Florida","Okaloosa County","Total Covered",6550,45655.01,15
"Florida","Okeechobee County","Total Covered",997,37077.01,17
"Florida","Orange County","Total Covered",43075,49952.01,13
"Florida","Osceola County","Total Covered",7185,37721.01,14
"Florida","Palm Beach County","Total Covered",56924,54787.01,17
"Florida","Pasco County","Total Covered",11133,39196.01,12
"Florida","Pinellas County","Total Covered",33445,49283.01,15
"Florida","Polk County","Total Covered",13491,42578.01,11
"Florida","Putnam County","Total Covered",1421,38128.01,13
"Florida","St. Johns County","Total Covered",7468,45475.01,16
"Florida","St. Lucie County","Total Covered",6552,41155.01,16
"Florida","Santa Rosa County","Total Covered",3498,37946.01,17
"Florida","Sarasota County","Total Covered",16115,47359.01,15
"Florida","Seminole County","Total Covered",15113,48718.01,15
"Florida","Sumter County","Total Covered",1898,41043.01,13
"Florida","Suwannee County","Total Covered",815,34894.01,15
"Florida","Taylor County","Total Covered",439,40110.01,13
"Florida","Union County","Total Covered",204,38167.01,12
"Florida","Volusia County","Total Covered",14478,40085.01,14
"Florida","Wakulla County","Total Covered",537,35867.01,14
"Florida","Walton County","Total Covered",2715,38543.01,13
"Florida","Washington County","Total Covered",458,35465.01,17
"Florida","Unknown Or Undefined","Total Covered",44575,79597.01,20
"Georgia","Appling County","Total Covered",404,45834.01,14
"Georgia","Atkinson County","Total Covered",115,34468.01,15
"Georgia","Bacon County","Total Covered",251,36091.01,12
"Georgia","Baker County","Total Covered",58,36487.01,12
"Georgia","Baldwin County","Total Covered",802,33857.01,14
"Georgia","Banks County","Total Covered",276,33102.01,12
"Georgia","Barrow County","Total Covered",1178,40210.01,13
"Georgia","Bartow County","Total Covered",2192,44349.01,13
"Georgia","Ben Hill County","Total Covered",331,32752.01,15
"Georgia","Berrien County","Total Covered",260,34087.01,14
"Georgia","Bibb County","Total Covered",4253,43662.01,11
"Georgia","Bleckley County","Total Covered",184,31259.01,15
"Georgia","Brantley County","Total Covered",210,33750.01,15
"Georgia","Brooks County","Total Covered",277,35162.01,13
"Georgia","Bryan County","Total Covered",688,36560.01,12
"Georgia","Bulloch County","Total Covered",1491,35195.01,14
"Georgia","Burke County","Total Covered",386,79990.01,12
"Georgia","Butts County","Total Covered",408,36562.01,12
"Georgia","Calhoun County","Total Covered",109,31649.01,14
"Georgia","Camden County","Total Covered",883,42899.01,13
"Georgia","Candler County","Total Covered",221,29151.01,14
"Georgia","Carroll County","Total Covered",2124,44066.01,14
"Georgia","Catoosa County","Total Covered",945,34201.01,14
"Georgia","Charlton County","Total Covered",161,35719.01,15
"Georgia","Chatham County","Total Covered",8008,47641.01,14
"Georgia","Chattahoochee County","Total Covered",106,47057.01,20
"Georgia","Chattooga County","Total Covered",324,34110.01,16
"Georgia","Cherokee County","Total Covered",5705,41007.01,15
"Georgia","Clarke County","Total Covered",3148,45388.01,13
"Georgia","Clay County","Total Covered",60,31280.01,11
"Georgia","Clayton County","Total Covered",3983,57839.01,14
"Georgia","Clinch County","Total Covered",173,35386.01,13
"Georgia","Cobb County","Total Covered",21759,58928.01,11
"Georgia","Coffee County","Total Covered",911,35087.01,13
"Georgia","Colquitt County","Total Covered",998,34522.01,15
"Georgia","Columbia County","Total Covered",2517,38871.01,15
"Georgia","Cook County","Total Covered",350,31953.01,11
"Georgia","Coweta County","Total Covered",2600,41410.01,13
"Georgia","Crawford County","Total Covered",130,32344.01,15
"Georgia","Crisp County","Total Covered",563,36188.01,12
"Georgia","Dade County","Total Covered",246,36560.01,11
"Georgia","Dawson County","Total Covered",694,30946.01,13
"Georgia","Decatur County","Total Covered",641,33773.01,14
"Georgia","DeKalb County","Total Covered",17664,57291.01,13
"Georgia","Dodge County","Total Covered",330,32770.01,12
"Georgia","Dooly County","Total Covered",192,35624.01,12
"Georgia","Dougherty County","Total Covered",2295,42241.01,16
"Georgia","Douglas County","Total Covered",2623,39447.01,14
"Georgia","Early County","Total Covered",259,44064.01,12
"Georgia","Echols County","Total Covered",50,38741.01,13
"Georgia","Effingham County","Total Covered",774,46324.01,16
"Georgia","Elbert County","Total Covered",473,34967.01,13
"Georgia","Emanuel County","Total Covered",420,34330.01,14
"Georgia","Evans County","Total Covered",240,32580.01,12
"Georgia","Fannin County","Total Covered",621,33451.01,13
"Georgia","Fayette County","Total Covered",3564,45136.01,14
"Georgia","Floyd County","Total Covered",1977,42349.01,12
"Georgia","Forsyth County","Total Covered",5881,49504.01,14
"Georgia","Franklin County","Total Covered",459,36535.01,15
"Georgia","Fulton County","Total Covered",43166,76123.01,13
"Georgia","Gilmer County","Total Covered",579,31611.01,13
"Georgia","Glascock County","Total Covered",38,26552.01,15
"Georgia","Glynn County","Total Covered",2651,43561.01,12
"Georgia","Gordon County","Total Covered",1025,40974.01,13
"Georgia","Grady County","Total Covered",466,36573.01,12
"Georgia","Greene County","Total Covered",478,38056.01,13
"Georgia","Gwinnett County","Total Covered",24872,53075.01,15
"Georgia","Habersham County","Total Covered",868,37048.01,16
"Georgia","Hall County","Total Covered",4444,47550.01,11
"Georgia","Hancock County","Total Covered",75,35965.01,14
"Georgia","Haralson County","Total Covered",480,42370.01,15
"Georgia","Harris County","Total Covered",444,30796.01,13
"Georgia","Hart County","Total Covered",418,37155.01,11
"Georgia","Heard County","Total Covered",146,46351.01,12
"Georgia","Henry County","Total Covered",3852,38560.01,12
"Georgia","Houston County","Total Covered",2645,45540.01,14
"Georgia","Irwin County","Total Covered",145,34196.01,12
"Georgia","Jackson County","Total Covered",1427,39265.01,14
"Georgia","Jasper County","Total Covered",183,33096.01,13
"Georgia","Jeff Davis County","Total Covered",236,34673.01,17
"Georgia","Jefferson County","Total Covered",364,37949.01,16
"Georgia","Jenkins County","Total Covered",120,31835.01,14
"Georgia","Johnson County","Total Covered",136,29906.01,14
"Georgia","Jones County","Total Covered",347,36382.01,12
"Georgia","Lamar County","Total Covered",254,36805.01,12
"Georgia","Lanier County","Total Covered",110,31387.01,13
"Georgia","Laurens County","Total Covered",1048,39469.01,14
"Georgia","Lee County","Total Covered",458,35366.01,10
"Georgia","Liberty County","Total Covered",868,41107.01,14
"Georgia","Lincoln County","Total Covered",148,31155.01,14
"Georgia","Long County","Total Covered",67,31195.01,11
"Georgia","Lowndes County","Total Covered",2818,37545.01,14
"Georgia","Lumpkin County","Total Covered",523,36234.01,14
"Georgia","McDuffie County","Total Covered",431,35006.01,15
"Georgia","McIntosh County","Total Covered",197,31282.01,15
"Georgia","Macon County","Total Covered",195,40817.01,12
"Georgia","Madison County","Total Covered",362,33985.01,14
"Georgia","Marion County","Total Covered",93,32224.01,13
"Georgia","Meriwether County","Total Covered",340,37281.01,17
"Georgia","Miller County","Total Covered",165,34988.01,13
"Georgia","Mitchell County","Total Covered",441,33319.01,15
"Georgia","Monroe County","Total Covered",524,40549.01,13
"Georgia","Montgomery County","Total Covered",134,31369.01,17
"Georgia","Morgan County","Total Covered",508,36200.01,13
"Georgia","Murray County","Total Covered",435,36266.01,13
"Georgia","Muscogee County","Total Covered",4513,44490.01,15
"Georgia","Newton County","Total Covered",1558,42754.01,13
"Georgia","Oconee County","Total Covered",1092,40587.01,13
